256 bodies after simulation of 10 seconds (1 frame per 0.001 microsecond)
Body 125 : Position (-0.374057m, 0.498525m), Velocity (0m/s, 0m/s)
Body 126 : Position (1.38215m, -0.391344m), Velocity (0m/s, 0m/s)
Body 127 : Position (-33.4343m, -13.1756m), Velocity (0m/s, 0m/s)
Body 128 : Position (33.106m, 13.5193m), Velocity (0m/s, 0m/s)
Body 129 : Position (-32.956m, -13.3693m), Velocity (0m/s, 0m/s)
Body 130 : Position (33.5843m, 13.3256m), Velocity (0m/s, 0m/s)
Body 131 : Position (-1.41595m, -0.892644m), Velocity (0m/s, 0m/s)
Body 132 : Position (1.19874m, 0.071646m), Velocity (0m/s, 0m/s)
Body 133 : Position (1.02739m, -0.965484m), Velocity (0m/s, 0m/s)
Body 134 : Position (0.765317m, -1.60518m), Velocity (0m/s, 0m/s)
Body 135 : Position (-0.311528m, -0.770716m), Velocity (0m/s, 0m/s)
Body 136 : Position (0.518195m, -0.781102m), Velocity (0m/s, 0m/s)
Body 137 : Position (-16.0866m, -5.85181m), Velocity (0m/s, 0m/s)
Body 138 : Position (-0.341983m, 0.0438364m), Velocity (0m/s, 0m/s)
Body 139 : Position (0.109086m, -0.355199m), Velocity (0m/s, 0m/s)
Body 140 : Position (0.0542268m, -0.259783m), Velocity (0m/s, 0m/s)
Body 141 : Position (1.0538m, -2.38692m), Velocity (0m/s, 0m/s)
Body 142 : Position (-2.17433m, 0.741959m), Velocity (0m/s, 0m/s)
Body 143 : Position (-33.4343m, 13.3256m), Velocity (0m/s, 0m/s)
Body 144 : Position (33.1059m, -13.3693m), Velocity (0m/s, 0m/s)
Body 145 : Position (4.24577m, -5.47347m), Velocity (0m/s, 0m/s)
Body 146 : Position (-2.62099m, 1.58403m), Velocity (0m/s, 0m/s)
Body 147 : Position (0.186434m, 0.0856248m), Velocity (0m/s, 0m/s)
Body 148 : Position (16.6894m, 7.06105m), Velocity (0m/s, 0m/s)
Body 149 : Position (0.709049m, 0.488393m), Velocity (0m/s, 0m/s)
Body 150 : Position (1.09445m, -0.294513m), Velocity (0m/s, 0m/s)
Body 151 : Position (3.33361m, -2.60946m), Velocity (0m/s, 0m/s)
Body 152 : Position (-0.374033m, -0.0969997m), Velocity (0m/s, 0m/s)
Body 153 : Position (0.596879m, -0.89752m), Velocity (0m/s, 0m/s)
Body 154 : Position (-0.921813m, 3.17539m), Velocity (0m/s, 0m/s)
Body 155 : Position (-1.14689m, 0.176602m), Velocity (0m/s, 0m/s)
Body 156 : Position (-0.202451m, 0.417533m), Velocity (0m/s, 0m/s)
Body 157 : Position (-1.25531m, -2.36515m), Velocity (0m/s, 0m/s)
Body 158 : Position (-0.101818m, -0.119686m), Velocity (0m/s, 0m/s)
Body 159 : Position (2.77215m, 1.58215m), Velocity (0m/s, 0m/s)
Body 160 : Position (-4.09569m, -5.47368m), Velocity (0m/s, 0m/s)
Body 161 : Position (-1.15668m, -2.77295m), Velocity (0m/s, 0m/s)
Body 162 : Position (7.24481m, 0.203232m), Velocity (0m/s, 0m/s)
Body 163 : Position (0.036458m, -0.158196m), Velocity (0m/s, 0m/s)
Body 164 : Position (1.17411m, -2.20816m), Velocity (0m/s, 0m/s)
Body 165 : Position (0.142656m, -0.334744m), Velocity (0m/s, 0m/s)
Body 166 : Position (0.416114m, -0.432826m), Velocity (0m/s, 0m/s)
Body 167 : Position (1.36798m, 0.639701m), Velocity (0m/s, 0m/s)
Body 168 : Position (-0.663215m, 2.09889m), Velocity (0m/s, 0m/s)
Body 169 : Position (-0.654282m, -0.101204m), Velocity (0m/s, 0m/s)
Body 170 : Position (-0.033993m, -0.227733m), Velocity (0m/s, 0m/s)
Body 171 : Position (0.15714m, 1.14187m), Velocity (0m/s, 0m/s)
Body 172 : Position (0.597364m, 1.31583m), Velocity (0m/s, 0m/s)
Body 173 : Position (-2.58863m, 2.36675m), Velocity (0m/s, 0m/s)
Body 174 : Position (-1.61342m, -1.56445m), Velocity (0m/s, 0m/s)
Body 175 : Position (-7.54375m, -0.0159932m), Velocity (0m/s, 0m/s)
Body 176 : Position (1.15624m, -2.83929m), Velocity (0m/s, 0m/s)
Body 177 : Position (2.30752m, -2.42298m), Velocity (0m/s, 0m/s)
Body 178 : Position (0.0607344m, 1.89946m), Velocity (0m/s, 0m/s)
Body 179 : Position (0.206601m, -0.220025m), Velocity (0m/s, 0m/s)
Body 180 : Position (-8.88588m, -1.9704m), Velocity (0m/s, 0m/s)
Body 181 : Position (-0.186228m, 0.784578m), Velocity (0m/s, 0m/s)
Body 182 : Position (-0.0348754m, -0.20243m), Velocity (0m/s, 0m/s)
Body 183 : Position (-1.05863m, -0.930356m), Velocity (0m/s, 0m/s)
Body 184 : Position (3.27181m, -2.52706m), Velocity (0m/s, 0m/s)
Body 185 : Position (-0.410606m, -0.0965949m), Velocity (0m/s, 0m/s)
Body 186 : Position (0.314564m, -0.240758m), Velocity (0m/s, 0m/s)
Body 187 : Position (2.02632m, -0.129692m), Velocity (0m/s, 0m/s)
Body 188 : Position (96.6646m, 96.8669m), Velocity (0m/s, 0m/s)
Body 189 : Position (-16.0083m, -0.998972m), Velocity (0m/s, 0m/s)
Body 190 : Position (0.360145m, -0.0170706m), Velocity (0m/s, 0m/s)
Body 191 : Position (0.0874587m, 1.83698m), Velocity (0m/s, 0m/s)
Body 192 : Position (-2.15939m, -2.37791m), Velocity (0m/s, 0m/s)
Body 193 : Position (7.54789m, -1207.41m), Velocity (0m/s, 0m/s)
Body 194 : Position (0.311273m, 0.01798m), Velocity (0m/s, 0m/s)
Body 195 : Position (-147.936m, -146.009m), Velocity (0m/s, 0m/s)
Body 196 : Position (0.0323147m, -0.0451323m), Velocity (0m/s, 0m/s)
Body 197 : Position (1.18589m, 2.33647m), Velocity (0m/s, 0m/s)
Body 198 : Position (2.22248m, 0.5655m), Velocity (0m/s, 0m/s)
Body 199 : Position (1.01104m, -0.366199m), Velocity (0m/s, 0m/s)
Body 200 : Position (-0.464422m, -0.248872m), Velocity (0m/s, 0m/s)
Body 201 : Position (-0.521323m, 0.0141968m), Velocity (0m/s, 0m/s)
Body 202 : Position (-0.305489m, -0.657528m), Velocity (0m/s, 0m/s)
Body 203 : Position (-2.2188m, -0.740134m), Velocity (0m/s, 0m/s)
Body 204 : Position (-1.20024m, -2.85036m), Velocity (0m/s, 0m/s)
Body 205 : Position (1.55437m, 1.20826m), Velocity (0m/s, 0m/s)
Body 206 : Position (-5.22982m, 4.71778m), Velocity (0m/s, 0m/s)
Body 207 : Position (-0.127952m, 0.101503m), Velocity (0m/s, 0m/s)
Body 208 : Position (-7.42937m, -1173.95m), Velocity (0m/s, 0m/s)
Body 209 : Position (20.2781m, 18.7681m), Velocity (0m/s, 0m/s)
Body 210 : Position (33.1675m, 28.2934m), Velocity (0m/s, 0m/s)
Body 211 : Position (-0.3225m, 0.563583m), Velocity (0m/s, 0m/s)
Body 212 : Position (148.294m, 145.954m), Velocity (0m/s, 0m/s)
Body 213 : Position (2.20753m, 0.608211m), Velocity (0m/s, 0m/s)
Body 214 : Position (-0.300064m, 0.497553m), Velocity (0m/s, 0m/s)
Body 215 : Position (0.280475m, -0.0335591m), Velocity (0m/s, 0m/s)
Body 216 : Position (2.78826m, -0.0549764m), Velocity (0m/s, 0m/s)
Body 217 : Position (-0.047283m, -0.164961m), Velocity (0m/s, 0m/s)
Body 218 : Position (-0.610281m, -0.113183m), Velocity (0m/s, 0m/s)
Body 219 : Position (-2.61797m, -0.327309m), Velocity (0m/s, 0m/s)
Body 220 : Position (0.755536m, 0.88925m), Velocity (0m/s, 0m/s)
Body 221 : Position (4.71822m, -5.2287m), Velocity (0m/s, 0m/s)
Body 222 : Position (-0.320787m, -0.451626m), Velocity (0m/s, 0m/s)
Body 223 : Position (-30.5678m, 30.6714m), Velocity (0m/s, 0m/s)
Body 224 : Position (-19.6021m, 19.3528m), Velocity (0m/s, 0m/s)
Body 225 : Position (0.652297m, -0.157282m), Velocity (0m/s, 0m/s)
Body 226 : Position (-0.488322m, 0.638971m), Velocity (0m/s, 0m/s)
Body 227 : Position (-1981.48m, -531.522m), Velocity (0m/s, 0m/s)
Body 228 : Position (0.134945m, 0.0700576m), Velocity (0m/s, 0m/s)
Body 229 : Position (-1.71242m, 0.0670915m), Velocity (0m/s, 0m/s)
Body 230 : Position (0.37434m, -7.51665m), Velocity (0m/s, 0m/s)
Body 231 : Position (-1.43332m, 2.77123m), Velocity (0m/s, 0m/s)
Body 232 : Position (-13.1756m, -33.4343m), Velocity (0m/s, 0m/s)
Body 233 : Position (13.3256m, -33.4343m), Velocity (0m/s, 0m/s)
Body 234 : Position (1.5831m, 2.77166m), Velocity (0m/s, 0m/s)
Body 235 : Position (-0.0239059m, -7.54801m), Velocity (0m/s, 0m/s)
Body 236 : Position (1.86435m, 0.0747057m), Velocity (0m/s, 0m/s)
Body 237 : Position (0.0228408m, -0.06967m), Velocity (0m/s, 0m/s)
Body 238 : Position (30.6141m, -30.5628m), Velocity (0m/s, 0m/s)
