n = 100000
Cycles = 2000
Car 713 : Position 105911, Velocity 8
Car 714 : Position 105891, Velocity 8
Car 715 : Position 105877, Velocity 8
Car 716 : Position 105861, Velocity 8
Car 717 : Position 105851, Velocity 8
Car 718 : Position 105824, Velocity 7
Car 719 : Position 105813, Velocity 7
Car 720 : Position 105784, Velocity 7
Car 721 : Position 105771, Velocity 8
Car 722 : Position 105759, Velocity 8
Car 723 : Position 105750, Velocity 8
Car 724 : Position 105737, Velocity 8
Car 725 : Position 105720, Velocity 8
Car 726 : Position 105708, Velocity 8
Car 727 : Position 105698, Velocity 8
Car 728 : Position 105684, Velocity 8
Car 729 : Position 105660, Velocity 7
Car 730 : Position 105651, Velocity 8
Car 731 : Position 105640, Velocity 8
Car 732 : Position 105619, Velocity 7
